t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
0.668282,0.407665,0.091770,0.162736,2.761918,0.178141,0.781569
0.672006,0.407677,0.091787,0.162746,2.761053,0.176954,0.786268
0.675247,0.407700,0.091801,0.162760,2.758807,0.177209,0.793489
0.678894,0.407689,0.091774,0.162805,2.757474,0.177313,0.795067
0.681785,0.407606,0.091767,0.162848,2.755249,0.178124,0.798892
0.685339,0.407528,0.091764,0.162880,2.754296,0.177688,0.801674
0.688501,0.407356,0.091788,0.162884,2.754612,0.177004,0.802655
0.691725,0.407174,0.091797,0.162906,2.753769,0.176604,0.801984
0.695199,0.407044,0.091811,0.162904,2.751473,0.178235,0.805997
0.698763,0.406983,0.091794,0.162899,2.750365,0.177632,0.807037
0.701711,0.406895,0.091763,0.162906,2.747596,0.177528,0.809037
0.705167,0.406800,0.091735,0.162918,2.744563,0.178087,0.808513
0.708567,0.406680,0.091721,0.162937,2.743184,0.177529,0.811032
0.711857,0.406574,0.091693,0.162984,2.742834,0.174417,0.809324
0.715203,0.406386,0.091631,0.163056,2.737278,0.183175,0.803905
0.718451,0.406221,0.091577,0.163129,2.737475,0.182348,0.801231
0.721643,0.406126,0.091579,0.163230,2.736658,0.182750,0.802814
0.725303,0.406074,0.091588,0.163286,2.736060,0.183533,0.803182
0.728649,0.405937,0.091662,0.163306,2.735698,0.183629,0.803262
0.732227,0.405862,0.091816,0.163342,2.740437,0.174006,0.808578
0.735309,0.405788,0.091974,0.163371,2.739904,0.175750,0.810147
0.738702,0.405649,0.092070,0.163384,2.742412,0.173443,0.806874
0.742371,0.405453,0.092257,0.163446,2.742686,0.173636,0.806205
0.745193,0.405322,0.092397,0.163535,2.742226,0.174372,0.807947
0.748485,0.405110,0.092547,0.163602,2.744773,0.171531,0.805158
0.751914,0.404807,0.092804,0.163700,2.746702,0.169067,0.806060
0.755371,0.404651,0.093106,0.163893,2.746166,0.168158,0.809998
0.766862,0.404463,0.093496,0.164127,2.746355,0.166106,0.814786
0.773034,0.404345,0.093883,0.164351,2.747537,0.163679,0.818580
0.781079,0.404339,0.094334,0.164628,2.745080,0.165432,0.829637
0.787599,0.404465,0.095014,0.165067,2.745014,0.163965,0.844569
0.798344,0.404457,0.095618,0.165521,2.740733,0.165865,0.863878
0.809431,0.404424,0.096317,0.166132,2.739994,0.161611,0.881141
0.830504,0.404314,0.097088,0.166841,2.739856,0.157772,0.900284
0.843822,0.404143,0.098113,0.167711,2.737856,0.153339,0.926000
0.851627,0.403892,0.098876,0.168404,2.740030,0.146850,0.939677
0.861575,0.403700,0.099839,0.169078,2.746318,0.138855,0.951036
0.864842,0.403768,0.100692,0.169762,2.748058,0.134872,0.968480
0.874877,0.403918,0.101485,0.170438,2.747795,0.134653,0.983806
0.878825,0.404129,0.102010,0.170933,2.750263,0.131166,0.991510
0.884588,0.404390,0.102517,0.171434,2.747818,0.129325,1.005390
0.888959,0.404634,0.102944,0.171917,2.747463,0.126000,1.016007
0.891622,0.404718,0.103342,0.172243,2.749254,0.121835,1.020920
0.895493,0.404750,0.103763,0.172498,2.750659,0.115008,1.027834
0.898615,0.404752,0.104134,0.172757,2.752501,0.112126,1.032166
0.902350,0.404752,0.104540,0.173059,2.754197,0.109666,1.036217
0.905385,0.404757,0.104918,0.173321,2.754319,0.108623,1.041984
0.908978,0.404820,0.105139,0.173520,2.753205,0.109367,1.045940
0.911914,0.404890,0.105429,0.173704,2.753617,0.109158,1.049781
0.915552,0.404973,0.105728,0.173855,2.753904,0.107608,1.052631
0.919021,0.404974,0.105996,0.173934,2.755367,0.105758,1.053155
0.922086,0.404940,0.106221,0.173998,2.756309,0.104534,1.051957
0.925624,0.404805,0.106471,0.174033,2.759742,0.101678,1.049023
0.929096,0.404621,0.106662,0.174077,2.759862,0.106516,1.043985
0.932135,0.404450,0.106891,0.174161,2.762570,0.106011,1.039713
0.936483,0.404389,0.107077,0.174288,2.762398,0.109297,1.038272
0.938789,0.404356,0.107243,0.174396,2.760065,0.115698,1.038943
0.942035,0.404363,0.107443,0.174469,2.757238,0.125019,1.037859
0.945152,0.404402,0.107738,0.174543,2.759469,0.121827,1.040361
0.949046,0.404410,0.107980,0.174525,2.759188,0.124188,1.041584
0.952137,0.404388,0.108205,0.174456,2.760187,0.124368,1.042003
0.955664,0.404376,0.108507,0.174423,2.759827,0.129826,1.040334
0.958951,0.404429,0.108818,0.174443,2.759683,0.131136,1.043472
0.962157,0.404499,0.109145,0.174486,2.759282,0.132965,1.046837
0.964978,0.404560,0.109446,0.174553,2.759632,0.133434,1.050178
0.968257,0.404613,0.109783,0.174680,2.757100,0.134561,1.052576
0.972213,0.404602,0.110047,0.174775,2.758260,0.127244,1.057521
0.975570,0.404528,0.110258,0.174865,2.759748,0.123876,1.057461
0.978224,0.404304,0.110348,0.174915,2.757754,0.127108,1.054636
0.981787,0.404130,0.110553,0.175033,2.757438,0.126310,1.053361
0.985121,0.403936,0.110782,0.175085,2.755957,0.129224,1.058061
0.988759,0.403765,0.111053,0.175087,2.757348,0.131614,1.057195
0.992410,0.403603,0.111339,0.175098,2.758173,0.132980,1.058234
0.995039,0.403545,0.111662,0.175098,2.759213,0.134431,1.061653
0.999027,0.403533,0.111874,0.175066,2.758029,0.140005,1.063355
1.002323,0.403502,0.112157,0.175046,2.760495,0.142929,1.062716
1.005653,0.403502,0.112394,0.175070,2.763569,0.139050,1.066731
1.008698,0.403401,0.112757,0.175194,2.763627,0.141084,1.068550
1.011992,0.403320,0.113048,0.175319,2.767272,0.133997,1.070525
1.015167,0.403151,0.113333,0.175411,2.771810,0.126483,1.075573
1.018488,0.403010,0.113463,0.175494,2.772593,0.125241,1.076922
1.021919,0.402870,0.113594,0.175576,2.769899,0.129192,1.078100
1.025175,0.402810,0.113564,0.175537,2.772366,0.127542,1.085082
1.028754,0.402741,0.113668,0.175565,2.767251,0.135666,1.088658
1.032153,0.402719,0.113931,0.175678,2.768262,0.132264,1.092954
1.035350,0.402638,0.114232,0.175783,2.772572,0.122506,1.100008
1.038539,0.402438,0.114318,0.175811,2.770701,0.123798,1.102756
1.042023,0.402251,0.114408,0.175865,2.766894,0.120367,1.104679
1.045110,0.402071,0.114363,0.175853,2.766284,0.116824,1.110969
1.048502,0.401735,0.114158,0.175709,2.758478,0.128421,1.111724
1.051764,0.401427,0.113949,0.175565,2.753304,0.135930,1.108968
1.055160,0.401130,0.113995,0.175442,2.754499,0.131901,1.113303
1.058765,0.400780,0.114091,0.175247,2.754505,0.133561,1.113449
1.062023,0.400390,0.114165,0.175037,2.757514,0.128351,1.111871
1.065025,0.400092,0.114272,0.174879,2.759242,0.122553,1.112498
1.068297,0.399794,0.114330,0.174757,2.758593,0.118786,1.116534
1.072035,0.399605,0.114375,0.174703,2.756536,0.117349,1.119503
1.075727,0.399277,0.114550,0.174558,2.756892,0.113364,1.127406
1.090336,0.398894,0.114990,0.174484,2.761792,0.103548,1.135283
1.102175,0.398462,0.115414,0.174388,2.768228,0.091052,1.143768
1.104675,0.397853,0.115581,0.174095,2.769055,0.088710,1.150243
1.113502,0.397073,0.115736,0.173735,2.772382,0.083316,1.154451
1.123521,0.396184,0.115795,0.173462,2.771805,0.087077,1.152990
1.143018,0.395121,0.115607,0.173020,2.763152,0.110788,1.152010
1.158267,0.394088,0.115412,0.172586,2.756333,0.124940,1.152584
1.161314,0.393171,0.115533,0.172282,2.753749,0.132012,1.152711
1.168562,0.392340,0.115638,0.172058,2.749700,0.142935,1.154950
1.178359,0.391772,0.115718,0.171830,2.748074,0.140778,1.160825
1.188269,0.391486,0.115887,0.171755,2.753376,0.121313,1.167267
1.192012,0.391233,0.116144,0.171647,2.754141,0.119563,1.171018
1.197310,0.391090,0.116378,0.171583,2.757718,0.109400,1.177974
1.202375,0.391031,0.116614,0.171496,2.761976,0.098075,1.183329
1.205672,0.390872,0.116763,0.171401,2.764684,0.098225,1.184609
1.208807,0.390595,0.116840,0.171268,2.763090,0.105600,1.183504
1.212359,0.390338,0.116777,0.171186,2.763971,0.102010,1.185966
1.215324,0.390079,0.116723,0.171119,2.762392,0.106481,1.186078
1.218900,0.389779,0.116666,0.171034,2.760431,0.110805,1.186498
1.221889,0.389611,0.116637,0.171002,2.759222,0.111618,1.188533
1.225281,0.389474,0.116548,0.170917,2.757324,0.114020,1.190657
1.228652,0.389333,0.116493,0.170820,2.754154,0.119319,1.190906
1.232220,0.389149,0.116416,0.170713,2.752672,0.123475,1.190111
1.235456,0.388996,0.116346,0.170621,2.750980,0.128542,1.188845
1.238604,0.388845,0.116308,0.170595,2.750053,0.130597,1.190440
1.242445,0.388728,0.116404,0.170638,2.750002,0.128061,1.195955
1.245708,0.388565,0.116526,0.170661,2.751335,0.126568,1.196870
1.248884,0.388363,0.116677,0.170663,2.746686,0.137266,1.197148
1.252091,0.388115,0.116891,0.170673,2.746684,0.135966,1.201841
1.255252,0.387840,0.117095,0.170633,2.746874,0.136486,1.203397
1.258598,0.387531,0.117168,0.170519,2.740266,0.152656,1.196570
1.261955,0.387221,0.117138,0.170363,2.738264,0.157649,1.198405
1.265197,0.387017,0.117119,0.170194,2.741993,0.150739,1.199302
1.268669,0.386846,0.117050,0.169991,2.741217,0.155795,1.196878
1.271855,0.386715,0.117027,0.169821,2.741012,0.159173,1.198135
1.275454,0.386623,0.117057,0.169695,2.746119,0.150408,1.203431
1.278614,0.386452,0.117079,0.169512,2.740870,0.163108,1.200358
1.282409,0.386249,0.117104,0.169273,2.740883,0.166190,1.198699
1.285275,0.386071,0.117120,0.169066,2.741638,0.168114,1.195893
1.289038,0.385937,0.117119,0.168812,2.738970,0.171236,1.196409
1.292163,0.385843,0.117111,0.168564,2.738399,0.174822,1.196257
1.295006,0.385868,0.117156,0.168386,2.740418,0.171011,1.199545
1.298368,0.385832,0.117143,0.168253,2.739724,0.170923,1.203359
1.301967,0.385773,0.117145,0.168077,2.738210,0.170678,1.206891
1.305766,0.385574,0.117131,0.167828,2.740284,0.169583,1.203940
1.309122,0.385306,0.117090,0.167529,2.740254,0.170778,1.203388
1.312469,0.384935,0.116988,0.167109,2.740903,0.175782,1.198779
1.315566,0.384632,0.116908,0.166735,2.739297,0.186978,1.193408
1.318865,0.384300,0.116807,0.166332,2.738700,0.192927,1.190239
1.321963,0.384119,0.116711,0.166060,2.736224,0.203257,1.187398
1.325266,0.383905,0.116633,0.165777,2.736935,0.204870,1.185747
1.328656,0.383890,0.116777,0.165723,2.737854,0.208192,1.182469
1.332172,0.383828,0.116844,0.165572,2.744013,0.196052,1.188912
1.334854,0.383822,0.116912,0.165481,2.743784,0.197964,1.190411
1.338515,0.383663,0.116897,0.165262,2.744575,0.197032,1.188405
1.341750,0.383515,0.116883,0.165023,2.742404,0.202158,1.186973
1.345545,0.383274,0.116817,0.164635,2.743002,0.199871,1.188646
1.348851,0.383063,0.116836,0.164333,2.737229,0.212971,1.183079
1.352374,0.382830,0.116880,0.164012,2.737236,0.218591,1.180023
1.355727,0.382633,0.117000,0.163766,2.737063,0.222247,1.180697
1.358747,0.382531,0.117119,0.163537,2.736434,0.230001,1.179161
1.361868,0.382419,0.117196,0.163355,2.734873,0.235939,1.180618
1.365211,0.382294,0.117285,0.163171,2.735602,0.239081,1.181057
1.369164,0.382134,0.117359,0.162999,2.734446,0.241604,1.182887
1.372295,0.382033,0.117444,0.162787,2.733523,0.245091,1.184824
1.382813,0.381876,0.117604,0.162375,2.737819,0.245739,1.188871
1.392411,0.381759,0.117813,0.161984,2.739729,0.248615,1.192007
1.403893,0.381591,0.117971,0.161560,2.741769,0.253047,1.194808
1.406054,0.381391,0.118112,0.161076,2.744678,0.259160,1.195235
1.409231,0.381106,0.118247,0.160626,2.748300,0.264775,1.194257
1.416226,0.380841,0.118319,0.160434,2.752394,0.261819,1.192350
1.418601,0.380487,0.118330,0.160257,2.754726,0.264745,1.189213
1.428319,0.380081,0.118385,0.160119,2.755115,0.266778,1.184453
1.429682,0.379654,0.118432,0.160007,2.757682,0.263792,1.185377
1.448392,0.379257,0.118474,0.159896,2.759780,0.261808,1.186269
1.462355,0.378863,0.118440,0.159756,2.756484,0.268199,1.184305
1.465379,0.378522,0.118392,0.159627,2.755864,0.267050,1.186164
1.472634,0.378305,0.118153,0.159390,2.750548,0.274197,1.189320
1.474372,0.378145,0.117894,0.159167,2.743768,0.284437,1.187277
1.484088,0.377970,0.117612,0.158921,2.734362,0.295817,1.187038
1.485766,0.377758,0.117402,0.158729,2.727529,0.303591,1.188925
1.493552,0.377520,0.117387,0.158670,2.727091,0.306726,1.190153
1.497229,0.377278,0.117565,0.158728,2.730982,0.302684,1.194366
1.503000,0.377049,0.117790,0.158801,2.736748,0.297868,1.198589
1.507629,0.376843,0.117780,0.158805,2.738459,0.300693,1.199602
1.510468,0.376693,0.117734,0.158796,2.738522,0.307069,1.201029
1.514185,0.376591,0.117473,0.158654,2.731353,0.318215,1.203139
1.517478,0.376294,0.117174,0.158389,2.728296,0.329076,1.197406
1.520662,0.376034,0.116861,0.158143,2.722766,0.341206,1.192911
