t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
3.210218,0.338936,-0.081695,0.212813,0.648647,-0.643660,1.986742
3.213664,0.339060,-0.081977,0.213113,0.652368,-0.634041,1.986751
3.216620,0.339040,-0.082220,0.213369,0.649401,-0.627394,1.987579
3.223764,0.339092,-0.082660,0.213784,0.647707,-0.620597,1.989435
3.226622,0.339056,-0.082880,0.213943,0.647586,-0.614154,1.991062
3.230647,0.339009,-0.082978,0.213966,0.648212,-0.607748,1.992360
3.233270,0.338971,-0.082797,0.213743,0.658590,-0.613185,1.992336
3.236831,0.339021,-0.082210,0.213180,0.654684,-0.617314,1.993968
3.243576,0.339236,-0.080832,0.211953,0.660235,-0.629372,1.993363
3.246889,0.339371,-0.080139,0.211289,0.659291,-0.640772,1.992418
3.250473,0.339470,-0.079910,0.210799,0.660483,-0.658648,1.989795
3.253886,0.339393,-0.080246,0.210630,0.650594,-0.661388,1.986129
3.257246,0.339552,-0.080789,0.210661,0.639714,-0.658694,1.985850
3.260278,0.339621,-0.081354,0.210763,0.628098,-0.653278,1.986202
3.264277,0.339586,-0.081646,0.210354,0.626193,-0.654301,1.983553
3.270499,0.339540,-0.080802,0.208978,0.645711,-0.664828,1.978958
3.284034,0.339589,-0.079704,0.207507,0.663912,-0.688841,1.976590
3.292486,0.339672,-0.078630,0.205659,0.671199,-0.695588,1.970941
3.302275,0.339639,-0.077987,0.204088,0.685680,-0.714608,1.966719
3.311418,0.339925,-0.077212,0.202798,0.691026,-0.717723,1.966022
3.313684,0.340064,-0.077800,0.202803,0.690421,-0.716722,1.967675
3.316410,0.340220,-0.078709,0.203147,0.664247,-0.693370,1.970766
3.325157,0.340111,-0.079545,0.203723,0.659617,-0.690792,1.973589
3.327346,0.340011,-0.079658,0.203427,0.655421,-0.676434,1.971585
3.350001,0.339621,-0.079876,0.202796,0.666720,-0.675940,1.971042
3.391861,0.338944,-0.076996,0.196842,0.666411,-0.668215,1.969583
3.394474,0.338828,-0.076005,0.194981,0.678270,-0.667785,1.968223
3.404377,0.338816,-0.075321,0.193708,0.687913,-0.665138,1.967206
3.411254,0.338880,-0.074932,0.193008,0.693049,-0.664409,1.969531
3.414320,0.338589,-0.074690,0.192474,0.698621,-0.648682,1.971681
3.417685,0.338311,-0.074710,0.192306,0.703899,-0.633557,1.975535
3.421370,0.338006,-0.074511,0.192007,0.713263,-0.616712,1.979281
3.424534,0.337878,-0.074402,0.191605,0.736370,-0.610198,1.979843
3.427393,0.337690,-0.074280,0.191194,0.747272,-0.597230,1.982438
