t_sec,shoulder_joint,upperArm_joint,foreArm_joint,wrist1_joint,wrist2_joint,wrist3_joint,hand_gesture_id,hand_rog,hand_pose_name
3.467892,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,2,1,five_open
3.492134,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,2,1,five_open
3.516377,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,2,1,five_open
3.540619,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,2,1,five_open
3.564861,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,2,1,five_open
3.589104,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,2,1,five_open
3.613346,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,2,1,five_open
3.637589,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,2,1,five_open
3.661831,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,2,1,five_open
3.686073,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,5,4,two_grasp_b
3.710316,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,5,4,two_grasp_b
3.734558,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,5,4,two_grasp_b
3.758801,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,5,4,two_grasp_b
3.783043,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,5,4,two_grasp_b
3.807286,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,5,4,two_grasp_b
3.831528,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,5,4,two_grasp_b
3.855770,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,5,4,two_grasp_b
3.880013,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,5,4,two_grasp_b
3.904255,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,5,4,two_grasp_b
3.928498,-0.039346883,-1.061962792,1.954395015,-2.471223560,2.003670981,1.609248791,5,4,two_grasp_b
3.952740,-0.038968812,-1.062256444,1.954069593,-2.471140774,2.007447218,1.610201446,5,4,two_grasp_b
3.976983,-0.038590740,-1.062550096,1.953744171,-2.471057989,2.011223455,1.611154101,5,4,two_grasp_b
4.001225,-0.038212669,-1.062843748,1.953418748,-2.470975203,2.014999692,1.612106757,5,4,two_grasp_b
4.025467,-0.037834597,-1.063137400,1.953093326,-2.470892417,2.018775929,1.613059412,5,4,two_grasp_b
4.049710,-0.037456526,-1.063431052,1.952767904,-2.470809631,2.022552166,1.614012067,5,4,two_grasp_b
4.073952,-0.037078454,-1.063724704,1.952442482,-2.470726845,2.026328404,1.614964722,5,4,two_grasp_b
4.098195,-0.036700383,-1.064018356,1.952117060,-2.470644060,2.030104641,1.615917377,5,4,two_grasp_b
4.122437,-0.036322311,-1.064312008,1.951791637,-2.470561274,2.033880878,1.616870033,5,4,two_grasp_b
4.146680,-0.035944240,-1.064605660,1.951466215,-2.470478488,2.037657115,1.617822688,5,4,two_grasp_b
4.170922,-0.035663862,-1.064823432,1.951224882,-2.470417094,2.040457573,1.618529177,5,4,two_grasp_b
4.195164,-0.035663862,-1.064823432,1.951224882,-2.470417094,2.040457573,1.618529177,5,4,two_grasp_b
4.219407,-0.035663862,-1.064823432,1.951224882,-2.470417094,2.040457573,1.618529177,5,4,two_grasp_b
4.243649,-0.035663862,-1.064823432,1.951224882,-2.470417094,2.040457573,1.618529177,5,4,two_grasp_b
4.267892,-0.036390787,-1.065925434,1.949715280,-2.470755854,2.042602625,1.619682190,5,4,two_grasp_b
4.292134,-0.037117712,-1.067027436,1.948205678,-2.471094614,2.044747677,1.620835202,5,4,two_grasp_b
4.316377,-0.037844636,-1.068129438,1.946696075,-2.471433373,2.046892729,1.621988214,5,4,two_grasp_b
4.340619,-0.038571561,-1.069231440,1.945186473,-2.471772133,2.049037781,1.623141227,5,4,two_grasp_b
4.364861,-0.039298486,-1.070333442,1.943676871,-2.472110893,2.051182832,1.624294239,5,4,two_grasp_b
4.389104,-0.040025411,-1.071435443,1.942167269,-2.472449653,2.053327884,1.625447252,5,4,two_grasp_b
4.413346,-0.040752336,-1.072537445,1.940657667,-2.472788413,2.055472936,1.626600264,5,4,two_grasp_b
4.437589,-0.041479260,-1.073639447,1.939148064,-2.473127172,2.057617988,1.627753277,5,4,two_grasp_b
4.461831,-0.042206185,-1.074741449,1.937638462,-2.473465932,2.059763040,1.628906289,5,4,two_grasp_b
4.486073,-0.042933110,-1.075843451,1.936128860,-2.473804692,2.061908092,1.630059302,5,4,two_grasp_b
4.510316,-0.042933110,-1.075843451,1.936128860,-2.473804692,2.061908092,1.630059302,5,4,two_grasp_b
4.534558,-0.042933110,-1.075843451,1.936128860,-2.473804692,2.061908092,1.630059302,5,4,two_grasp_b
4.558801,-0.042933110,-1.075843451,1.936128860,-2.473804692,2.061908092,1.630059302,5,4,two_grasp_b
4.583043,-0.042933110,-1.075843451,1.936128860,-2.473804692,2.061908092,1.630059302,5,4,two_grasp_b
4.607286,-0.042933110,-1.075843451,1.936128860,-2.473804692,2.061908092,1.630059302,5,4,two_grasp_b
4.631528,-0.042933110,-1.075843451,1.936128860,-2.473804692,2.061908092,1.630059302,5,4,two_grasp_b
4.655770,-0.042933110,-1.075843451,1.936128860,-2.473804692,2.061908092,1.630059302,5,4,two_grasp_b
4.680013,-0.040134718,-1.077944651,1.938658243,-2.475308155,2.049557992,1.630272514,5,4,two_grasp_b
4.704255,-0.037336326,-1.080045851,1.941187627,-2.476811618,2.037207893,1.630485725,5,4,two_grasp_b
4.728498,-0.034537934,-1.082147050,1.943717011,-2.478315081,2.024857793,1.630698937,5,4,two_grasp_b
4.752740,-0.031739542,-1.084248250,1.946246394,-2.479818544,2.012507693,1.630912149,5,4,two_grasp_b
4.776983,-0.028941150,-1.086349450,1.948775778,-2.481322007,2.000157594,1.631125361,5,4,two_grasp_b
4.801225,-0.026142759,-1.088450650,1.951305161,-2.482825470,1.987807494,1.631338572,5,4,two_grasp_b
4.825467,-0.023344367,-1.090551850,1.953834545,-2.484328933,1.975457394,1.631551784,5,4,two_grasp_b
4.849710,-0.020545975,-1.092653049,1.956363928,-2.485832396,1.963107294,1.631764996,5,4,two_grasp_b
4.873952,-0.017747583,-1.094754249,1.958893312,-2.487335859,1.950757195,1.631978207,5,4,two_grasp_b
4.898195,-0.014949191,-1.096855449,1.961422695,-2.488839322,1.938407095,1.632191419,5,4,two_grasp_b
4.922437,-0.014949191,-1.096855449,1.961422695,-2.488839322,1.938407095,1.632191419,5,4,two_grasp_b
4.946680,-0.014949191,-1.096855449,1.961422695,-2.488839322,1.938407095,1.632191419,5,4,two_grasp_b
4.970922,-0.014949191,-1.096855449,1.961422695,-2.488839322,1.938407095,1.632191419,5,4,two_grasp_b
4.995164,-0.014949191,-1.096855449,1.961422695,-2.488839322,1.938407095,1.632191419,5,4,two_grasp_b
5.019407,-0.014949191,-1.096855449,1.961422695,-2.488839322,1.938407095,1.632191419,5,4,two_grasp_b
5.043649,-0.015835468,-1.097001647,1.961689124,-2.489362075,1.940519109,1.633966648,5,4,two_grasp_b
5.067892,-0.017721537,-1.097312767,1.962256106,-2.490474536,1.945013645,1.637744479,5,4,two_grasp_b
5.092134,-0.019607605,-1.097623888,1.962823088,-2.491586997,1.949508180,1.641522310,5,4,two_grasp_b
5.116377,-0.021493674,-1.097935009,1.963390070,-2.492699458,1.954002716,1.645300140,5,4,two_grasp_b
5.140619,-0.024482179,-1.098258478,1.963274417,-2.493919293,1.961931183,1.649558866,5,4,two_grasp_b
5.164861,-0.030201765,-1.098612537,1.961467666,-2.495405127,1.978366571,1.655008920,5,4,two_grasp_b
5.189104,-0.035921350,-1.098966597,1.959660916,-2.496890961,1.994801959,1.660458973,5,4,two_grasp_b
5.213346,-0.041640936,-1.099320657,1.957854165,-2.498376796,2.011237347,1.665909027,5,4,two_grasp_b
5.237589,-0.047360522,-1.099674717,1.956047414,-2.499862630,2.027672735,1.671359081,5,4,two_grasp_b
5.261831,-0.053080107,-1.100028777,1.954240664,-2.501348465,2.044108123,1.676809135,5,4,two_grasp_b
5.286073,-0.057913416,-1.100236639,1.952167484,-2.502311546,2.058431497,1.680483959,5,4,two_grasp_b
5.310316,-0.061746933,-1.100279579,1.949793751,-2.502684919,2.070372350,1.682156182,5,4,two_grasp_b
5.334558,-0.065580450,-1.100322518,1.947420019,-2.503058293,2.082313202,1.683828405,5,4,two_grasp_b
5.358801,-0.069413967,-1.100365457,1.945046286,-2.503431667,2.094254055,1.685500628,5,4,two_grasp_b
5.383043,-0.072145047,-1.100396048,1.943355188,-2.503697666,2.102760975,1.686691956,5,4,two_grasp_b
5.407286,-0.072145047,-1.100396048,1.943355188,-2.503697666,2.102760975,1.686691956,5,4,two_grasp_b
5.431528,-0.072145047,-1.100396048,1.943355188,-2.503697666,2.102760975,1.686691956,5,4,two_grasp_b
5.455770,-0.072145047,-1.100396048,1.943355188,-2.503697666,2.102760975,1.686691956,5,4,two_grasp_b
5.480013,-0.072145047,-1.100396048,1.943355188,-2.503697666,2.102760975,1.686691956,5,4,two_grasp_b
5.504255,-0.072145047,-1.100396048,1.943355188,-2.503697666,2.102760975,1.686691956,5,4,two_grasp_b
5.528498,-0.072145047,-1.100396048,1.943355188,-2.503697666,2.102760975,1.686691956,5,4,two_grasp_b
5.552740,-0.072145047,-1.100396048,1.943355188,-2.503697666,2.102760975,1.686691956,5,4,two_grasp_b
5.576983,-0.072145047,-1.100396048,1.943355188,-2.503697666,2.102760975,1.686691956,5,4,two_grasp_b
5.601225,-0.073385582,-1.100693252,1.942311989,-2.504290916,2.105260787,1.691424013,5,4,two_grasp_b
5.625467,-0.075170969,-1.101120990,1.940810610,-2.505144726,2.108858537,1.698234427,5,4,two_grasp_b
5.649710,-0.076956356,-1.101548729,1.939309230,-2.505998536,2.112456286,1.705044841,5,4,two_grasp_b
5.673952,-0.078741743,-1.101976467,1.937807850,-2.506852346,2.116054036,1.711855255,5,4,two_grasp_b
5.698195,-0.080527131,-1.102404205,1.936306471,-2.507706156,2.119651785,1.718665669,5,4,two_grasp_b
5.722437,-0.082312518,-1.102831943,1.934805091,-2.508559966,2.123249535,1.725476083,5,4,two_grasp_b
5.746680,-0.087098519,-1.103009906,1.930121055,-2.509174843,2.136605854,1.735072523,5,4,two_grasp_b
5.770922,-0.091884519,-1.103187868,1.925437019,-2.509789720,2.149962172,1.744668964,5,4,two_grasp_b
5.795164,-0.096670520,-1.103365831,1.920752983,-2.510404597,2.163318491,1.754265404,5,4,two_grasp_b
5.819407,-0.101456521,-1.103543793,1.916068947,-2.511019475,2.176674809,1.763861845,5,4,two_grasp_b
5.843649,-0.105001987,-1.103424552,1.912428110,-2.511041102,2.187531316,1.768726228,5,4,two_grasp_b
5.867892,-0.108002600,-1.103174776,1.909245454,-2.510802169,2.197289885,1.771512255,5,4,two_grasp_b
5.892134,-0.111003214,-1.102925000,1.906062798,-2.510563236,2.207048454,1.774298281,5,4,two_grasp_b
5.916377,-0.114003827,-1.102675224,1.902880141,-2.510324304,2.216807023,1.777084308,5,4,two_grasp_b
5.940619,-0.117004441,-1.102425448,1.899697485,-2.510085371,2.226565592,1.779870334,5,4,two_grasp_b
5.964861,-0.120005054,-1.102175672,1.896514829,-2.509846438,2.236324161,1.782656361,5,4,two_grasp_b
5.989104,-0.120005054,-1.102175672,1.896514829,-2.509846438,2.236324161,1.782656361,5,4,two_grasp_b
6.013346,-0.120005054,-1.102175672,1.896514829,-2.509846438,2.236324161,1.782656361,5,4,two_grasp_b
6.037589,-0.120005054,-1.102175672,1.896514829,-2.509846438,2.236324161,1.782656361,5,4,two_grasp_b
6.061831,-0.119754290,-1.103090672,1.895886708,-2.510763306,2.233091962,1.786034194,5,4,two_grasp_b
6.086073,-0.119442814,-1.104227206,1.895106512,-2.511902160,2.229077209,1.790229842,5,4,two_grasp_b
6.110316,-0.119131337,-1.105363739,1.894326315,-2.513041014,2.225062455,1.794425491,5,4,two_grasp_b
6.134558,-0.118819861,-1.106500273,1.893546118,-2.514179867,2.221047701,1.798621139,5,4,two_grasp_b
6.158801,-0.118508384,-1.107636806,1.892765922,-2.515318721,2.217032947,1.802816787,5,4,two_grasp_b
6.183043,-0.118196908,-1.108773339,1.891985725,-2.516457574,2.213018193,1.807012436,5,4,two_grasp_b
