trial_id,frame_index,t_sec,stage,hand_target_x_m,hand_target_y_m,hand_target_z_m,pick_x_m,pick_y_m,pick_z_m,place_x_m,place_y_m,place_z_m,object_x_m,object_y_m,object_z_m,wall_time
1,40,1.3333333333333341,lift,0.13333333333333333,0.0,-0.8333333333333334,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.283799409866333
1,41,1.3666666666666676,lift,0.1416666666666667,0.0,-0.8291666666666667,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.29039883613586426
1,42,1.400000000000001,lift,0.15000000000000002,0.0,-0.8250000000000001,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.2966189384460449
1,43,1.4333333333333345,lift,0.15833333333333333,0.0,-0.8208333333333333,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.30226588249206543
1,44,1.466666666666668,lift,0.16666666666666669,0.0,-0.8166666666666667,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.30782485008239746
1,45,1.5000000000000013,lift,0.17500000000000002,0.0,-0.8125000000000001,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.3153951168060303
1,46,1.5333333333333348,lift,0.18333333333333335,0.0,-0.8083333333333335,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.32227563858032227
1,47,1.5666666666666682,lift,0.19166666666666668,0.0,-0.8041666666666667,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.3277604579925537
1,48,1.6000000000000016,transfer,0.2,0.0,-0.8,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.33421945571899414
1,49,1.633333333333335,transfer,0.2,0.0,-0.8023809523809524,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.34171509742736816
1,50,1.6666666666666685,transfer,0.19999999999999998,0.0,-0.8047619047619047,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.35164499282836914
1,51,1.700000000000002,transfer,0.2,0.0,-0.8071428571428572,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.35950231552124023
1,52,1.7333333333333354,transfer,0.2,0.0,-0.8095238095238096,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.36765623092651367
1,53,1.7666666666666688,transfer,0.2,0.0,-0.8119047619047619,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.37439489364624023
1,54,1.8000000000000023,transfer,0.20000000000000004,0.0,-0.8142857142857144,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.38109731674194336
1,55,1.8333333333333357,transfer,0.2,0.0,-0.8166666666666668,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.3874363899230957
1,56,1.8666666666666691,transfer,0.2,0.0,-0.819047619047619,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.39356565475463867
1,57,1.9000000000000026,transfer,0.2,0.0,-0.8214285714285714,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.4003560543060303
1,58,1.933333333333336,transfer,0.2,0.0,-0.8238095238095239,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.406360387802124
1,59,1.9666666666666694,transfer,0.2,0.0,-0.8261904761904763,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.41216111183166504
1,60,2.0000000000000027,transfer,0.2,0.0,-0.8285714285714286,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.4184386730194092
1,61,2.033333333333336,transfer,0.2,0.0,-0.830952380952381,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.4248991012573242
1,62,2.066666666666669,transfer,0.2,0.0,-0.8333333333333335,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.43117618560791016
1,63,2.1000000000000023,transfer,0.2,0.0,-0.8357142857142856,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.43930864334106445
1,64,2.1333333333333355,transfer,0.2,0.0,-0.8380952380952381,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.4496440887451172
1,65,2.1666666666666687,transfer,0.2,0.0,-0.8404761904761906,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.45719075202941895
1,66,2.200000000000002,transfer,0.2,0.0,-0.8428571428571427,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.46546077728271484
1,67,2.233333333333335,transfer,0.2,0.0,-0.8452380952380953,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.47188758850097656
1,68,2.2666666666666684,transfer,0.2,0.0,-0.8476190476190477,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.47794365882873535
1,69,2.3000000000000016,transfer,0.2,0.0,-0.8500000000000001,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.483400821685791
1,70,2.333333333333335,transfer,0.2,0.0,-0.8523809523809525,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.4906320571899414
1,71,2.366666666666668,transfer,0.2,0.0,-0.8547619047619048,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.4967210292816162
1,72,2.4000000000000012,transfer,0.2,0.0,-0.8571428571428572,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.5020921230316162
1,73,2.4333333333333345,transfer,0.2,0.0,-0.8595238095238096,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.5083167552947998
1,74,2.4666666666666677,transfer,0.2,0.0,-0.861904761904762,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.5137474536895752
1,75,2.500000000000001,transfer,0.2,0.0,-0.8642857142857143,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.518923282623291
1,76,2.533333333333334,transfer,0.2,0.0,-0.8666666666666667,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.5259084701538086
1,77,2.5666666666666673,transfer,0.2,0.0,-0.8690476190476191,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.5313534736633301
1,78,2.6000000000000005,transfer,0.2,0.0,-0.8714285714285714,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.5370934009552002
1,79,2.6333333333333337,transfer,0.2,0.0,-0.8738095238095238,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.5440359115600586
1,80,2.666666666666667,transfer,0.2,0.0,-0.8761904761904762,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.5521934032440186
1,81,2.7,transfer,0.2,0.0,-0.8785714285714287,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.5608620643615723
1,82,2.7333333333333334,transfer,0.2,0.0,-0.880952380952381,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.5663843154907227
