t_sec,wall_time,trial_time,action,command,status,message
530.699249,1787193017.564467,2.420042,thumb_in,@ROG<11>&,error,source=10.12.194.1:53242; rpi_wall=1785025312.611995; rpi_monotonic=869.732365188; [Errno 111] Connection refused
530.754278,1787193017.619496,2.475071,thumb_in,@ROG<11>&,error,source=10.12.194.1:46912; rpi_wall=1785025312.6652853; rpi_monotonic=869.785655917; [Errno 111] Connection refused
530.806131,1787193017.671350,2.526924,thumb_in,@ROG<11>&,error,source=10.12.194.1:47526; rpi_wall=1785025312.7181358; rpi_monotonic=869.83850675; [Errno 111] Connection refused
530.858136,1787193017.723354,2.578929,thumb_in,@ROG<11>&,error,source=10.12.194.1:35314; rpi_wall=1785025312.770877; rpi_monotonic=869.891247792; [Errno 111] Connection refused
530.910522,1787193017.775741,2.631315,thumb_in,@ROG<11>&,error,source=10.12.194.1:58697; rpi_wall=1785025312.8236432; rpi_monotonic=869.944014042; [Errno 111] Connection refused
530.963870,1787193017.829089,2.684664,thumb_in,@ROG<11>&,error,source=10.12.194.1:44980; rpi_wall=1785025312.8766668; rpi_monotonic=869.997037479; [Errno 111] Connection refused
531.017162,1787193017.882381,2.737956,thumb_in,@ROG<11>&,error,source=10.12.194.1:48742; rpi_wall=1785025312.9298253; rpi_monotonic=870.050195813; [Errno 111] Connection refused
531.071124,1787193017.936343,2.791918,thumb_in,@ROG<11>&,error,source=10.12.194.1:34070; rpi_wall=1785025312.9825644; rpi_monotonic=870.102934875; [Errno 111] Connection refused
531.130857,1787193017.996076,2.851651,thumb_in,@ROG<11>&,error,source=10.12.194.1:46206; rpi_wall=1785025313.035541; rpi_monotonic=870.155911958; [Errno 111] Connection refused
531.176641,1787193018.041860,2.897434,thumb_in,@ROG<11>&,error,source=10.12.194.1:36645; rpi_wall=1785025313.088796; rpi_monotonic=870.209166698; [Errno 111] Connection refused
531.228590,1787193018.093809,2.949384,thumb_in,@ROG<11>&,error,source=10.12.194.1:57306; rpi_wall=1785025313.1417449; rpi_monotonic=870.262115917; [Errno 111] Connection refused
531.281955,1787193018.147174,3.002749,thumb_in,@ROG<11>&,error,source=10.12.194.1:59723; rpi_wall=1785025313.1951537; rpi_monotonic=870.315524719; [Errno 111] Connection refused
531.334661,1787193018.199880,3.055455,thumb_in,@ROG<11>&,error,source=10.12.194.1:37388; rpi_wall=1785025313.2478886; rpi_monotonic=870.368258937; [Errno 111] Connection refused
531.388098,1787193018.253317,3.108892,thumb_in,@ROG<11>&,error,source=10.12.194.1:44463; rpi_wall=1785025313.3009644; rpi_monotonic=870.421335187; [Errno 111] Connection refused
531.444264,1787193018.309483,3.165057,thumb_in,@ROG<11>&,error,source=10.12.194.1:33156; rpi_wall=1785025313.3539135; rpi_monotonic=870.474283937; [Errno 111] Connection refused
531.501844,1787193018.367063,3.222638,thumb_in,@ROG<11>&,error,source=10.12.194.1:39101; rpi_wall=1785025313.4072914; rpi_monotonic=870.52766201; [Errno 111] Connection refused
531.549371,1787193018.414590,3.270165,thumb_in,@ROG<11>&,error,source=10.12.194.1:58569; rpi_wall=1785025313.4603198; rpi_monotonic=870.580690656; [Errno 111] Connection refused
531.600888,1787193018.466107,3.321681,thumb_in,@ROG<11>&,error,source=10.12.194.1:54661; rpi_wall=1785025313.5135598; rpi_monotonic=870.633930031; [Errno 111] Connection refused
531.653162,1787193018.518381,3.373956,thumb_in,@ROG<11>&,error,source=10.12.194.1:51454; rpi_wall=1785025313.566302; rpi_monotonic=870.686672739; [Errno 111] Connection refused
531.706380,1787193018.571599,3.427173,thumb_in,@ROG<11>&,error,source=10.12.194.1:47129; rpi_wall=1785025313.6192505; rpi_monotonic=870.739621073; [Errno 111] Connection refused
531.759782,1787193018.625000,3.480575,thumb_in,@ROG<11>&,error,source=10.12.194.1:48256; rpi_wall=1785025313.6728206; rpi_monotonic=870.793191281; [Errno 111] Connection refused
531.813107,1787193018.678325,3.533900,thumb_in,@ROG<11>&,error,source=10.12.194.1:50309; rpi_wall=1785025313.725636; rpi_monotonic=870.846006958; [Errno 111] Connection refused
531.867920,1787193018.733139,3.588714,thumb_in,@ROG<11>&,error,source=10.12.194.1:47028; rpi_wall=1785025313.778531; rpi_monotonic=870.89890175; [Errno 111] Connection refused
531.921214,1787193018.786432,3.642007,thumb_in,@ROG<11>&,error,source=10.12.194.1:56101; rpi_wall=1785025313.8319767; rpi_monotonic=870.952347843; [Errno 111] Connection refused
531.971716,1787193018.836935,3.692509,thumb_in,@ROG<11>&,error,source=10.12.194.1:48757; rpi_wall=1785025313.8847096; rpi_monotonic=871.005079979; [Errno 111] Connection refused
532.025092,1787193018.890310,3.745885,thumb_in,@ROG<11>&,error,source=10.12.194.1:49609; rpi_wall=1785025313.9374883; rpi_monotonic=871.057858989; [Errno 111] Connection refused
532.077190,1787193018.942409,3.797984,thumb_in,@ROG<11>&,error,source=10.12.194.1:57335; rpi_wall=1785025313.990409; rpi_monotonic=871.11077951; [Errno 111] Connection refused
532.138921,1787193019.004139,3.859714,thumb_in,@ROG<11>&,error,source=10.12.194.1:59520; rpi_wall=1785025314.0439155; rpi_monotonic=871.164286281; [Errno 111] Connection refused
532.183619,1787193019.048837,3.904412,thumb_in,@ROG<11>&,error,source=10.12.194.1:52259; rpi_wall=1785025314.0966833; rpi_monotonic=871.217053781; [Errno 111] Connection refused
532.243294,1787193019.108513,3.964088,thumb_in,@ROG<11>&,error,source=10.12.194.1:60487; rpi_wall=1785025314.149619; rpi_monotonic=871.269990135; [Errno 111] Connection refused
532.289914,1787193019.155133,4.010707,thumb_in,@ROG<11>&,error,source=10.12.194.1:58347; rpi_wall=1785025314.2030563; rpi_monotonic=871.323426802; [Errno 111] Connection refused
532.343418,1787193019.208637,4.064211,thumb_in,@ROG<11>&,error,source=10.12.194.1:42625; rpi_wall=1785025314.2558315; rpi_monotonic=871.376201802; [Errno 111] Connection refused
532.395698,1787193019.260917,4.116492,thumb_in,@ROG<11>&,error,source=10.12.194.1:56574; rpi_wall=1785025314.3088453; rpi_monotonic=871.429215812; [Errno 111] Connection refused
532.449095,1787193019.314314,4.169889,thumb_in,@ROG<11>&,error,source=10.12.194.1:58104; rpi_wall=1785025314.362299; rpi_monotonic=871.482669718; [Errno 111] Connection refused
532.502618,1787193019.367837,4.223412,thumb_in,@ROG<11>&,error,source=10.12.194.1:53159; rpi_wall=1785025314.4156632; rpi_monotonic=871.536034093; [Errno 111] Connection refused
532.555554,1787193019.420773,4.276348,thumb_in,@ROG<11>&,error,source=10.12.194.1:44427; rpi_wall=1785025314.4685926; rpi_monotonic=871.588963572; [Errno 111] Connection refused
532.608400,1787193019.473618,4.329193,thumb_in,@ROG<11>&,error,source=10.12.194.1:50028; rpi_wall=1785025314.5216377; rpi_monotonic=871.642008156; [Errno 111] Connection refused
532.662114,1787193019.527333,4.382907,thumb_in,@ROG<11>&,error,source=10.12.194.1:33162; rpi_wall=1785025314.5748875; rpi_monotonic=871.695257843; [Errno 111] Connection refused
532.714570,1787193019.579788,4.435363,thumb_in,@ROG<11>&,error,source=10.12.194.1:54523; rpi_wall=1785025314.627802; rpi_monotonic=871.748172947; [Errno 111] Connection refused
532.768328,1787193019.633547,4.489122,thumb_in,@ROG<11>&,error,source=10.12.194.1:45113; rpi_wall=1785025314.6811826; rpi_monotonic=871.801553468; [Errno 111] Connection refused
532.821764,1787193019.686982,4.542557,thumb_in,@ROG<11>&,error,source=10.12.194.1:45737; rpi_wall=1785025314.7341242; rpi_monotonic=871.854495187; [Errno 111] Connection refused
532.875032,1787193019.740250,4.595825,thumb_in,@ROG<11>&,error,source=10.12.194.1:34201; rpi_wall=1785025314.7871065; rpi_monotonic=871.907477062; [Errno 111] Connection refused
532.927335,1787193019.792553,4.648128,thumb_in,@ROG<11>&,error,source=10.12.194.1:42431; rpi_wall=1785025314.8403208; rpi_monotonic=871.960691489; [Errno 111] Connection refused
532.979832,1787193019.845051,4.700626,thumb_in,@ROG<11>&,error,source=10.12.194.1:52510; rpi_wall=1785025314.8930998; rpi_monotonic=872.013470239; [Errno 111] Connection refused
533.032766,1787193019.897985,4.753560,thumb_in,@ROG<11>&,error,source=10.12.194.1:48319; rpi_wall=1785025314.94604; rpi_monotonic=872.066410187; [Errno 111] Connection refused
533.086074,1787193019.951293,4.806868,thumb_in,@ROG<11>&,error,source=10.12.194.1:58511; rpi_wall=1785025314.9992816; rpi_monotonic=872.119652687; [Errno 111] Connection refused
533.139358,1787193020.004577,4.860152,thumb_in,@ROG<11>&,error,source=10.12.194.1:38070; rpi_wall=1785025315.052247; rpi_monotonic=872.172617426; [Errno 111] Connection refused
533.192920,1787193020.058139,4.913714,thumb_in,@ROG<11>&,error,source=10.12.194.1:42241; rpi_wall=1785025315.105721; rpi_monotonic=872.226091541; [Errno 111] Connection refused
533.245431,1787193020.110650,4.966224,thumb_in,@ROG<11>&,error,source=10.12.194.1:58485; rpi_wall=1785025315.158611; rpi_monotonic=872.278981853; [Errno 111] Connection refused
533.298764,1787193020.163982,5.019557,thumb_in,@ROG<11>&,error,source=10.12.194.1:47473; rpi_wall=1785025315.2120457; rpi_monotonic=872.332416124; [Errno 111] Connection refused
533.352405,1787193020.217623,5.073198,thumb_in,@ROG<11>&,error,source=10.12.194.1:54031; rpi_wall=1785025315.2649806; rpi_monotonic=872.385351333; [Errno 111] Connection refused
533.405815,1787193020.271033,5.126608,thumb_in,@ROG<11>&,error,source=10.12.194.1:45968; rpi_wall=1785025315.3185432; rpi_monotonic=872.438914041; [Errno 111] Connection refused
533.458985,1787193020.324204,5.179779,thumb_in,@ROG<11>&,error,source=10.12.194.1:33212; rpi_wall=1785025315.3718085; rpi_monotonic=872.492178989; [Errno 111] Connection refused
533.512957,1787193020.378176,5.233751,thumb_in,@ROG<11>&,error,source=10.12.194.1:39045; rpi_wall=1785025315.424646; rpi_monotonic=872.545016801; [Errno 111] Connection refused
533.564590,1787193020.429809,5.285384,thumb_in,@ROG<11>&,error,source=10.12.194.1:37929; rpi_wall=1785025315.4773614; rpi_monotonic=872.59773201; [Errno 111] Connection refused
533.617093,1787193020.482311,5.337886,thumb_in,@ROG<11>&,error,source=10.12.194.1:35828; rpi_wall=1785025315.530354; rpi_monotonic=872.65072503; [Errno 111] Connection refused
533.670401,1787193020.535620,5.391195,thumb_in,@ROG<11>&,error,source=10.12.194.1:60100; rpi_wall=1785025315.583733; rpi_monotonic=872.704103468; [Errno 111] Connection refused
533.723309,1787193020.588528,5.444103,thumb_in,@ROG<11>&,error,source=10.12.194.1:53737; rpi_wall=1785025315.636638; rpi_monotonic=872.757008468; [Errno 111] Connection refused
533.776877,1787193020.642095,5.497670,thumb_in,@ROG<11>&,error,source=10.12.194.1:60176; rpi_wall=1785025315.690139; rpi_monotonic=872.81050977; [Errno 111] Connection refused
533.830724,1787193020.695943,5.551518,thumb_in,@ROG<11>&,error,source=10.12.194.1:46685; rpi_wall=1785025315.7431092; rpi_monotonic=872.863480239; [Errno 111] Connection refused
533.888550,1787193020.753768,5.609343,thumb_in,@ROG<11>&,error,source=10.12.194.1:57512; rpi_wall=1785025315.7963805; rpi_monotonic=872.916751176; [Errno 111] Connection refused
533.936695,1787193020.801913,5.657488,thumb_in,@ROG<11>&,error,source=10.12.194.1:38636; rpi_wall=1785025315.8491216; rpi_monotonic=872.969491905; [Errno 111] Connection refused
