t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
0.582556,0.356103,-0.055383,0.403959,2.224226,0.713880,0.552077
0.601591,0.356059,-0.056082,0.403537,2.248019,0.688862,0.534678
0.621725,0.356086,-0.056206,0.403616,2.251121,0.685787,0.540325
0.640907,0.356642,-0.056241,0.403567,2.252390,0.687468,0.552077
0.647968,0.356634,-0.056202,0.403559,2.252390,0.687468,0.552077
0.651484,0.356664,-0.056199,0.403549,2.252390,0.687468,0.552077
0.672675,0.356489,-0.055874,0.403788,2.255837,0.692009,0.555132
0.677695,0.356643,-0.055857,0.403794,2.256365,0.690731,0.559131
0.681241,0.356751,-0.055786,0.403803,2.256520,0.689389,0.560764
0.684687,0.356859,-0.055556,0.403833,2.254263,0.692711,0.567317
0.688100,0.356946,-0.055315,0.403834,2.256495,0.691923,0.571349
0.691265,0.356988,-0.055111,0.403872,2.254807,0.694315,0.577364
0.694517,0.356948,-0.054865,0.403893,2.253889,0.696772,0.581029
0.698008,0.356881,-0.054647,0.403901,2.253218,0.699123,0.586919
0.701204,0.356844,-0.054480,0.403841,2.258186,0.693813,0.589222
0.704920,0.356826,-0.054334,0.403818,2.259585,0.692073,0.594651
0.707569,0.356860,-0.054245,0.403825,2.262635,0.687969,0.597340
0.711474,0.356872,-0.054170,0.403816,2.263963,0.685617,0.600212
0.715195,0.356881,-0.054069,0.403800,2.268520,0.681684,0.602991
0.717966,0.356893,-0.054042,0.403807,2.268893,0.682484,0.605012
0.721568,0.356906,-0.054016,0.403815,2.269181,0.682733,0.606759
0.725221,0.356851,-0.053759,0.403623,2.272330,0.679378,0.610751
0.727719,0.356807,-0.053457,0.403435,2.277428,0.673998,0.614906
0.731716,0.356796,-0.053208,0.403243,2.279042,0.671318,0.618038
0.735171,0.356792,-0.052962,0.403058,2.272410,0.674269,0.627415
0.738227,0.356864,-0.052823,0.402883,2.276659,0.666590,0.632282
0.741603,0.356915,-0.052932,0.403011,2.276433,0.667534,0.633414
0.745174,0.356955,-0.053087,0.403135,2.265807,0.677633,0.638693
0.748443,0.357264,-0.053271,0.403219,2.268997,0.670838,0.641883
0.751548,0.357432,-0.053282,0.403164,2.271771,0.666614,0.645702
0.755140,0.357615,-0.053164,0.403031,2.271145,0.668121,0.650289
0.758385,0.357860,-0.052958,0.402773,2.276038,0.662191,0.658840
0.761720,0.358167,-0.052735,0.402541,2.293723,0.641891,0.665635
0.771489,0.358449,-0.052308,0.402450,2.294855,0.644075,0.671059
0.774887,0.358529,-0.052251,0.402521,2.306436,0.636423,0.670655
0.778668,0.358431,-0.052300,0.402465,2.312875,0.628285,0.676458
0.782017,0.358317,-0.052345,0.402405,2.317957,0.619551,0.681343
0.784836,0.358277,-0.052207,0.402197,2.317949,0.620456,0.681542
0.787767,0.358279,-0.052051,0.401933,2.320858,0.616031,0.685818
0.791632,0.358354,-0.051820,0.401493,2.325270,0.607798,0.691750
0.808746,0.358548,-0.051430,0.401002,2.332565,0.596842,0.700849
