t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
0.575538,0.420482,0.091276,0.162314,2.723706,0.243822,0.794793
0.578972,0.420110,0.091096,0.162244,2.726883,0.236879,0.792390
0.582179,0.419713,0.090909,0.162198,2.728498,0.232507,0.791660
0.584934,0.419333,0.090780,0.162173,2.730270,0.230340,0.790771
0.588842,0.418802,0.090701,0.162139,2.736856,0.223030,0.783908
0.591462,0.418287,0.090588,0.162157,2.739124,0.221431,0.777275
0.595024,0.417901,0.090412,0.162224,2.739214,0.222826,0.775448
0.598482,0.417560,0.090346,0.162284,2.741296,0.220593,0.770544
0.601954,0.417222,0.090413,0.162421,2.743389,0.217071,0.767451
0.605267,0.417093,0.090475,0.162632,2.745120,0.213144,0.769133
0.608585,0.416963,0.090534,0.162727,2.749215,0.207818,0.770761
0.612271,0.416838,0.090654,0.162921,2.752311,0.200413,0.771946
0.615440,0.416704,0.090571,0.163171,2.753535,0.194072,0.773873
0.618825,0.416566,0.090253,0.163273,2.749501,0.197658,0.773260
0.622364,0.416438,0.089886,0.163346,2.747214,0.202535,0.772200
0.625581,0.416304,0.089540,0.163457,2.743335,0.207871,0.772647
0.628460,0.416170,0.089210,0.163541,2.740675,0.213733,0.771407
0.632011,0.415969,0.089044,0.163520,2.741819,0.216956,0.770384
0.635688,0.415720,0.088998,0.163547,2.745999,0.212524,0.769598
0.639096,0.415338,0.088970,0.163567,2.747508,0.210813,0.767485
0.642473,0.414998,0.088962,0.163589,2.750038,0.205317,0.766389
0.645658,0.414686,0.088934,0.163567,2.751290,0.204046,0.765742
0.648866,0.414458,0.088827,0.163594,2.750389,0.205362,0.764338
0.651818,0.414277,0.088705,0.163641,2.748767,0.207579,0.763148
0.655332,0.414187,0.088655,0.163710,2.747675,0.206726,0.764459
0.658316,0.414098,0.088656,0.163775,2.747369,0.208553,0.764704
0.661959,0.413992,0.088704,0.163826,2.748511,0.206255,0.766213
0.665417,0.413869,0.088748,0.163832,2.748945,0.202929,0.769503
0.668282,0.413742,0.088782,0.163859,2.748591,0.199871,0.773160
0.672006,0.413679,0.088773,0.163891,2.747637,0.197157,0.776752
0.675247,0.413624,0.088726,0.163910,2.745394,0.195712,0.782396
0.678894,0.413536,0.088665,0.163969,2.743336,0.196642,0.783838
0.681785,0.413468,0.088631,0.164039,2.741280,0.197243,0.786654
0.685339,0.413376,0.088631,0.164059,2.740456,0.196667,0.788902
0.688501,0.413224,0.088648,0.164061,2.740474,0.196417,0.791219
0.691725,0.413063,0.088662,0.164090,2.739660,0.195970,0.790590
0.695199,0.412955,0.088678,0.164081,2.738108,0.195065,0.793602
0.698763,0.412832,0.088682,0.164061,2.737092,0.194398,0.794609
0.701711,0.412722,0.088655,0.164064,2.734601,0.193968,0.795667
0.705167,0.412601,0.088629,0.164070,2.731810,0.194173,0.794707
0.708567,0.412476,0.088611,0.164080,2.730672,0.193349,0.796268
0.711857,0.412350,0.088590,0.164118,2.730128,0.190514,0.795523
0.715203,0.412189,0.088562,0.164205,2.725889,0.197782,0.792601
0.718451,0.412051,0.088539,0.164296,2.725734,0.197383,0.791393
0.721643,0.411980,0.088546,0.164399,2.724903,0.197768,0.793053
0.725303,0.411931,0.088569,0.164462,2.724132,0.198742,0.794405
0.728649,0.411870,0.088632,0.164506,2.723486,0.199217,0.795846
0.732227,0.411834,0.088722,0.164558,2.726317,0.193378,0.799292
0.735309,0.411802,0.088826,0.164602,2.725509,0.196993,0.800012
0.738702,0.411660,0.088926,0.164621,2.727811,0.195044,0.797146
0.742371,0.411463,0.089106,0.164678,2.728044,0.195286,0.796408
0.745193,0.411279,0.089256,0.164750,2.727830,0.195694,0.796728
0.748485,0.411047,0.089428,0.164824,2.730189,0.193208,0.794218
0.751914,0.410777,0.089655,0.164925,2.732244,0.190676,0.794089
0.755371,0.410650,0.089943,0.165145,2.731467,0.191745,0.797413
0.766862,0.410543,0.090287,0.165416,2.731342,0.191769,0.801634
