t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
0.542930,0.347054,0.097800,0.163725,2.742575,0.233821,0.798572
0.553432,0.346551,0.097543,0.163881,2.744603,0.229554,0.799068
0.563959,0.346060,0.097127,0.164026,2.745798,0.225019,0.801442
0.569242,0.345603,0.096637,0.164132,2.741659,0.225338,0.804190
0.575538,0.345273,0.096147,0.164149,2.736604,0.228839,0.808325
0.578972,0.344892,0.095932,0.164083,2.740142,0.221276,0.804480
0.582179,0.344528,0.095702,0.164045,2.741588,0.216989,0.804733
0.584934,0.344178,0.095548,0.164023,2.743396,0.214701,0.803895
0.588842,0.343595,0.095406,0.163915,2.750337,0.206730,0.795708
0.591462,0.343047,0.095250,0.163882,2.752626,0.205024,0.788628
0.595024,0.342610,0.095024,0.163866,2.752526,0.206709,0.787232
0.598482,0.342298,0.094927,0.163902,2.754813,0.204150,0.780819
0.601954,0.341982,0.094981,0.164024,2.757619,0.198680,0.778034
0.605267,0.341947,0.095072,0.164302,2.759795,0.193109,0.781517
0.608585,0.341877,0.095100,0.164528,2.763266,0.188623,0.782460
0.612271,0.341840,0.095189,0.164780,2.766980,0.179234,0.785080
0.615440,0.341707,0.095114,0.165051,2.769142,0.170085,0.788248
0.618825,0.341554,0.094721,0.165161,2.764098,0.174346,0.787191
0.622364,0.341334,0.094315,0.165227,2.761011,0.179662,0.784717
0.625581,0.341132,0.093963,0.165259,2.757580,0.182690,0.786280
0.628460,0.340933,0.093672,0.165297,2.754550,0.188596,0.785058
0.632011,0.340721,0.093583,0.165270,2.756508,0.188373,0.785691
0.635688,0.340492,0.093684,0.165275,2.762910,0.178734,0.786365
0.639096,0.340135,0.093733,0.165250,2.766456,0.172636,0.785087
0.642473,0.339813,0.093748,0.165214,2.769165,0.168450,0.784094
0.645658,0.339490,0.093744,0.165198,2.770620,0.166899,0.782429
0.648866,0.339192,0.093548,0.165158,2.768634,0.172024,0.777679
0.651818,0.338901,0.093339,0.165137,2.765626,0.178492,0.774486
0.655332,0.338786,0.093177,0.165237,2.762508,0.181960,0.774843
0.658316,0.338682,0.093098,0.165341,2.762223,0.182064,0.773535
0.661959,0.338565,0.093068,0.165432,2.762761,0.180334,0.774488
0.665417,0.338463,0.093076,0.165507,2.762533,0.179387,0.778720
0.668282,0.338392,0.093071,0.165609,2.761918,0.178141,0.781569
0.672006,0.338394,0.093089,0.165664,2.761053,0.176954,0.786268
0.675247,0.338404,0.093105,0.165721,2.758807,0.177209,0.793489
0.678894,0.338387,0.093089,0.165782,2.757474,0.177313,0.795067
0.681785,0.338297,0.093083,0.165854,2.755249,0.178124,0.798892
0.685339,0.338219,0.093091,0.165895,2.754296,0.177688,0.801674
0.688501,0.338046,0.093111,0.165897,2.754612,0.177004,0.802655
0.691725,0.337861,0.093120,0.165927,2.753769,0.176604,0.801984
0.695199,0.337724,0.093126,0.165951,2.751473,0.178235,0.805997
0.698763,0.337658,0.093113,0.165960,2.750365,0.177632,0.807037
0.701711,0.337564,0.093083,0.165984,2.747596,0.177528,0.809037
0.705167,0.337463,0.093054,0.166019,2.744563,0.178087,0.808513
0.708567,0.337344,0.093034,0.166029,2.743184,0.177529,0.811032
0.711857,0.337239,0.092997,0.166069,2.742834,0.174417,0.809324
0.715203,0.337061,0.092948,0.166138,2.737278,0.183175,0.803905
